Designator,Mid X,Mid Y,Rotation,Layer
C1,162.9695,-91.567,180.0,top
C10,167.894,-101.604,90.0,top
C11,161.544,-70.358,180.0,top
C12,203.454,-77.519,270.0,top
C13,191.633708,-82.854775,270.0,top
C14,186.894665,-76.708,270.0,top
C15,180.086,-76.708,90.0,top
C16,175.963372,-60.11054,90.0,top
C17,178.449495,-60.11054,90.0,top
C18,194.564,-68.58,90.0,top
C19,177.546,-70.747675,270.0,top
C2,178.371,-82.054,0.0,top
C20,183.998551,-66.560989,180.0,top
C21,193.3495,-89.535,180.0,top
C22,198.1885,-89.535,0.0,top
C3,163.068,-96.266,90.0,top
C4,177.8,-96.266,90.0,top
C5,178.371,-80.276,0.0,top
C6,162.9695,-89.662,180.0,top
C7,165.1,-80.645,90.0,top
C8,176.903656,-91.186,270.0,top
C9,178.681656,-91.173,270.0,top
D1,157.071416,-84.429645,0.0,top
D2,157.035,-82.55,0.0,top
D3,191.454495,-76.06896,90.0,top
D4,169.464387,-62.963537,180.0,top
D5,169.489943,-71.036771,180.0,top
F1,165.1,-60.706,0.0,top
FB1,160.528,-60.706,0.0,top
J1,152.4,-90.673,0.0,top
J10,185.46,-104.665,0.0,top
J11,211.599,-80.478,90.0,top
J12,221.251,-93.98,90.0,top
J2,168.905,-105.414,270.0,top
J3,152.4,-66.548,270.0,top
J4,196.996186,-59.436,90.0,top
J5,211.599,-67.31,90.0,top
J6,221.234,-80.478,90.0,top
J7,199.43,-104.665,0.0,top
J8,220.997,-67.31,90.0,top
J9,211.599,-93.98,90.0,top
L1,198.12,-76.2,180.0,top
L2,184.404,-62.030035,0.0,top
Q1,193.259686,-64.196,0.0,top
R1,155.575,-88.519,270.0,top
R10,186.641426,-85.816328,270.0,top
R11,174.498,-78.74,270.0,top
R12,160.655,-84.509645,180.0,top
R13,160.655,-82.55,180.0,top
R14,161.544,-64.262,0.0,top
R15,161.544,-72.39,0.0,top
R17,194.600618,-83.730917,90.0,top
R18,197.915449,-84.489868,0.0,top
R19,169.477388,-65.024,0.0,top
R2,162.306,-86.36,0.0,top
R20,192.291686,-59.69,90.0,top
R21,169.487584,-68.873888,0.0,top
R22,173.07926,-70.6709,270.0,top
R23,192.532,-68.58,90.0,top
R25,169.481,-66.953202,180.0,top
R26,201.648022,-68.367472,270.0,top
R27,183.973438,-69.022,0.0,top
R28,189.8065,-97.536,0.0,top
R3,179.197,-83.82,0.0,top
R4,184.658,-85.852,90.0,top
R5,182.617891,-85.876287,270.0,top
R6,170.539199,-78.710904,270.0,top
R7,168.606971,-78.702174,270.0,top
R8,188.609005,-85.811309,270.0,top
R9,169.926,-101.604,90.0,top
U1,170.5895,-86.094,90.0,top
U2,161.614075,-67.310411,0.0,top
U3,198.008821,-81.434101,0.0,top
U4,183.5205,-76.708,180.0,top
U5,175.93826,-65.7179,0.0,top
U6,198.2525,-68.26,180.0,top
U7,199.609686,-64.196,0.0,top
U8,195.9025,-94.742,0.0,top
Y1,170.434,-96.012,0.0,top
